protName
"(+)-alpha-pinene synthase, chloroplastic"
AT1G30300.4
AT1G30320.1
AT1G30330.1
AT1G30330.2
AT1G30330.3
AT1G30350.1
AT1G30360.1
AT1G30370.1
AT1G30380.1
AT1G30400.1
AT1G30400.2
AT1G30410.1
AT1G30410.2
AT1G30410.3
AT1G30410.4
AT1G30410.5
AT1G30410.6
AT1G30420.1
AT1G30420.2
AT1G30440.1
AT1G30450.1
AT1G30450.2
AT1G30450.3
AT1G30450.4
AT1G30455.1
AT1G30460.1
AT1G30460.2
AT1G30460.3
AT1G30470.1
AT1G30470.2
AT1G30470.3
AT1G30473.1
AT1G30475 protein
AT1G30475.1
AT1G30475.2
AT1G30475.3
AT1G30475.4
AT1G30480.1
AT1G30490.1
AT1G30500.1
AT1G30500.2
AT1G30510.1
AT1G30510.2
AT1G30510.3
AT1G30515.1
AT1G30520.1
AT1G30520.2
AT1G30520.3
AT1G30520.4
AT1G30530-MONOMER
AT1G30530.1
AT1G30540 protein
AT1G30540.1
AT1G30540.2
AT1G30540.3
AT1G30540.4
AT1G30545.1
AT1G30545.2
AT1G30550.1
AT1G30550.2
AT1G30560.1
AT1G30570.1
AT1G30580.1
AT1G30590.1
AT1G30590.2
AT1G30590.3
AT1G30600.1
AT1G30610.1
AT1G30610.2
AT1G30620.1
AT1G30620.2
AT1G30620.3
AT1G30620.4
AT1G30620.5
AT1G30620.6
AT1G30630.1
AT1G30640.1
AT1G30640.2
AT1G30640.3
AT1G30650.1
AT1G30660.1
AT1G30660.2
AT1G30660.3
AT1G30670.1
AT1G30680.1
AT1G30690.1
AT1G30690.2
AT1G30700.1
AT1G30710.1
AT1G30720.1
AT1G30730.1
AT1G30740.1
AT1G30740.2
AT1G30750.1
AT1G30755.1
AT1G30755.2
AT1G30755.3
AT1G30755.4
AT1G30755.5
AT1G30755.6
AT1G30757.1
AT1G30757.2
AT1G30760.1
AT1G30760.2
AT1G30780.1
AT1G30790.1
AT1G30795.1
AT1G30800.1
AT1G30810.1
AT1G30810.2
AT1G30810.3
AT1G30814.1
AT1G30814.2
AT1G30814.3
AT1G30814.4
AT1G30820.1
AT1G30825.1
AT1G30840.1
AT1G30840.2
AT1G30845.1
AT1G30850.1
AT1G30860.1
AT1G30880.1
AT1G30880.2
AT1G30890.1
AT1G30890.2
AT1G30900.1
AT1G30920.1
AT1G30925.1
AT1G30930.1
AT1G30950.1
AT1G30960.1
AT1G30970.1
AT1G30970.2
AT1G30970.3
AT1G30972.1
AT1G30972.2
AT1G30972.3
AT1G30974.1
AT1G30974.2
AT1G30990.1
AT1G31000.1
AT1G31010.1
AT1G31020.1
AT1G31040.1
AT1G31050.1
AT1G31050.2
AT1G31050.3
AT1G31050.4
AT1G31050.5
AT1G31050.6
AT1G31050.7
AT1G31050.8
AT1G31070.1
AT1G31070.2
AT1G31080.1
AT1G31090.1
AT1G31095.1
AT1G31120.1
AT1G31130.1
AT1G31140.1
AT1G31140.2
AT1G31150.1
AT1G31150.2
AT1G31160.1
AT1G31160.2
AT1G31163.1
AT1G31170.1
AT1G31170.2
AT1G31170.3
AT1G31170.4
AT1G31170.5
AT1G31175.1
AT1G31175.2
AT1G31180.1
AT1G31180.2
AT1G31190-MONOMER
AT1G31190.1
AT1G31200.1
AT1G31220.1
AT1G31230-MONOMER
AT1G31230.1
AT1G31240.1
AT1G31243.1
AT1G31250.1
AT1G31255.1
AT1G31255.2
AT1G31260.1
AT1G31270.1
AT1G31280.1
AT1G31290.1
AT1G31290.2
AT1G31290.3
AT1G31300.1
AT1G31300.2
AT1G31300.3
AT1G31310.1
AT1G31320.1
AT1G31330.1
AT1G31335.1
AT1G31340.1
AT1G31350.1
AT1G31350.2
AT1G31360.1
AT1G31360.2
AT1G31360.3
AT1G31360.4
AT1G31360.5
AT1G31360.6
AT1G31360.7
AT1G31360.8
AT1G31370.1
AT1G31380.1
AT1G31390.1
AT1G31400.1
AT1G31410.1
AT1G31420.1
AT1G31420.2
AT1G31420.3
AT1G31430.1
AT1G31430.2
AT1G31440.1
AT1G31450.1
AT1G31460.1
AT1G31470.1
AT1G31480.1
AT1G31490.1
AT1G31500.1
AT1G31500.2
AT1G31500.3
AT1G31500.4
AT1G31500.5
AT1G31500.6
AT1G31500.7
AT1G31500.8
AT1G31510.1
AT1G31520.1
AT1G31530.1
AT1G31540.1
AT1G31540.2
AT1G31540.3
AT1G31550.1
AT1G31550.2
AT1G31555.1
AT1G31580.1
AT1G31600.1
AT1G31600.2
AT1G31600.3
AT1G31600.4
AT1G31620.1
AT1G31630.1
AT1G31640.1
AT1G31650.1
AT1G31650.2
AT1G31660.1
AT1G31670
AT1G31690
AT1G31710
AT1G31720.1
AT1G31720.2
AT1G31720.3
AT1G31720.4
AT1G31720.5
AT1G31720.6
AT1G31720.7
AT1G31730.1
AT1G31740.1
AT1G31750.1
AT1G31760.1
AT1G31770.1
AT1G31772.1
AT1G31772.2
AT1G31780.1
AT1G31790.1
AT1G31800.1
AT1G31810.1
AT1G31810.2
AT1G31812.1
AT1G31814.1
AT1G31817.1
AT1G31820.1
AT1G31830.1
AT1G31830.2
AT1G31835.1
AT1G31835.2
AT1G31840.1
AT1G31840.2
AT1G31850.1
AT1G31850.2
AT1G31850.3
AT1G31850.4
AT1G31860-MONOMER
AT1G31860.1
AT1G31860.2
AT1G31860.3
AT1G31870 protein
AT1G31870.1
AT1G31870.2
AT1G31880.1
AT1G31880.2
AT1G31885.1
AT1G31885.2
AT1G31885.3
AT1G31910.2
AT1G31920.1
AT1G31930.1
AT1G31930.2
AT1G31930.3
AT1G31930.4
AT1G31930.5
AT1G31930.6
AT1G31940.1
AT1G31950.1
AT1G31950.2
AT1G31950.3
AT1G31960.1
AT1G31970.1
AT1G31990.1
AT1G32000.1
AT1G32010.1
AT1G32020.1
AT1G32030.1
AT1G32050.1
AT1G32060.1
AT1G32070.1
AT1G32070.2
AT1G32070.3
AT1G32080.1
AT1G32090.1
AT1G32100.1
AT1G32120.1
AT1G32127.1
AT1G32127.2
AT1G32130.1
AT1G32130.2
AT1G32140.1
AT1G32150.1
AT1G32160.1
AT1G32170.1
AT1G32180.1
AT1G32180.2
AT1G32190.1
AT1G32190.2
AT1G32200.1
AT1G32200.2
AT1G32210.1
AT1G32210.2
AT1G32220.1
AT1G32225.1
AT1G32230.1
AT1G32230.2
AT1G32230.3
AT1G32230.4
AT1G32230.5
AT1G32230.6
AT1G32240.1
AT1G32240.2
AT1G32240.3
AT1G32250.1
AT1G32260.1
AT1G32270.1
AT1G32270.2
AT1G32280.1
AT1G32300.1
AT1G32310.1
AT1G32320.1
AT1G32330.1
AT1G32330.2
AT1G32337.1
AT1G32340.1
AT1G32350.1
AT1G32350.2
AT1G32360.1
AT1G32361.1
AT1G32370.1
AT1G32370.2
AT1G32370.3
AT1G32370.4
AT1G32375.1
AT1G32375.2
AT1G32380-MONOMER
AT1G32380.1
AT1G32380.2
AT1G32400.1
AT1G32400.2
AT1G32400.3
AT1G32410.1
AT1G32410.2
AT1G32410.3
AT1G32410.4
AT1G32410.5
AT1G32415.1
AT1G32420.1
AT1G32430.1
AT1G32440.1
AT1G32450.1
AT1G32460.1
AT1G32470.1
AT1G32480.1
AT1G32490.1
AT1G32490.2
AT1G32500.1
AT1G32510.1
AT1G32520.1
AT1G32530.1
AT1G32540.1
AT1G32540.2
AT1G32540.3
AT1G32540.4
AT1G32540.5
AT1G32540.6
AT1G32540.7
AT1G32550.1
AT1G32550.2
AT1G32560.1
AT1G32570.1
AT1G32570.2
AT1G32575.1
AT1G32580.1
AT1G32583.1
AT1G32583.2
AT1G32585.1
AT1G32600.1
AT1G32610.1
AT1G32610.2
AT1G32610.3
AT1G32630.1
AT1G32630.2
AT1G32640.1
AT1G32650.1
AT1G32660.1
AT1G32690.1
AT1G32700.1
AT1G32700.2
AT1G32710.1
AT1G32720.1
AT1G32730.1
AT1G32740.1
AT1G32740.2
AT1G32740.3
AT1G32740.4
AT1G32750.1
AT1G32760.1
AT1G32763.1
AT1G32770.1
AT1G32780.1
AT1G32790.1
AT1G32790.2
AT1G32810.2
AT1G32850.1
AT1G32860.1
AT1G32870.1
AT1G32870.2
AT1G32870.3
AT1G32880.1
AT1G32900.1
AT1G32910.1
AT1G32920.1
AT1G32928.1
AT1G32930.1
AT1G32940.1
AT1G32940.2
AT1G32940.3
AT1G32940.4
AT1G32950.1
AT1G32950.2
AT1G32960.1
AT1G32970.1
AT1G32975.1
AT1G32980.1
AT1G32990.1
AT1G33010.1
AT1G33020.1
AT1G33030.2
AT1G33030.3
AT1G33040.1
AT1G33050.1
AT1G33050.2
AT1G33050.3
AT1G33050.4
AT1G33050.5
AT1G33050.6
AT1G33055.1
AT1G33060.1
AT1G33060.2
AT1G33070.1
AT1G33080.1
AT1G33080.2
AT1G33090.1
AT1G33100.1
AT1G33102.1
AT1G33110.1
AT1G33110.2
AT1G33120.1
AT1G33140.1
AT1G33170.1
AT1G33220.1
AT1G33230.1
AT1G33230.2
AT1G33240.1
AT1G33240.2
AT1G33240.3
AT1G33250.1
AT1G33260.1
AT1G33260.2
AT1G33265.1
AT1G33270.1
AT1G33270.2
AT1G33280.1
AT1G33290.1
AT1G33290.2
AT1G33290.3
AT1G33320.1
AT1G33320.2
AT1G33320.3
AT1G33330.1
AT1G33330.2
AT1G33330.3
AT1G33340.1
AT1G33350.1
AT1G33350.2
AT1G33355.1
AT1G33360.1
AT1G33390.1
AT1G33390.2
AT1G33400.1
AT1G33400.2
AT1G33400.3
AT1G33410.1
AT1G33410.2
AT1G33420.1
AT1G33420.2
AT1G33430.1
AT1G33430.2
AT1G33430.3
AT1G33440.1
AT1G33470.1
AT1G33470.2
AT1G33470.3
AT1G33475.1
AT1G33475.2
AT1G33480.1
AT1G33490.1
AT1G33490.2
AT1G33490.3
AT1G33500.1
AT1G33500.2
AT1G33500.3
AT1G33520.1
AT1G33530.1
AT1G33540
AT1G33540.2
AT1G33560.1
AT1G33590.1
AT1G33590.2
AT1G33590.3
AT1G33600.1
AT1G33600.2
AT1G33607.1
AT1G33610.1
AT1G33612.1
AT1G33640.1
AT1G33670.1
AT1G33680.1
AT1G33700
AT1G33700.2
AT1G33700.3
AT1G33700.4
AT1G33710.1
AT1G33720
AT1G33720.2
AT1G33720.3
AT1G33720.4
AT1G33720.5
AT1G33730.1
AT1G33730.2
AT1G33760.1
AT1G33770.1
AT1G33780.1
AT1G33790.1
AT1G33790.2
AT1G33790.3
AT1G33790.4
AT1G33790.5
AT1G33790.6
AT1G33800.1
AT1G33810.1
AT1G33811.1
AT1G33820.1
AT1G33830.1
AT1G33840.1
AT1G33840.2
AT1G33850.1
AT1G33860.1
AT1G33860.2
AT1G33870.1
AT1G33880.1
AT1G33880.2
AT1G33890.1
AT1G33890.2
AT1G33900.1
AT1G33910.1
AT1G33920.1
AT1G33930.1
AT1G33940.1
AT1G33940.2
AT1G33945.1
AT1G33950.1
AT1G33950.2
AT1G33960.1
AT1G33960.2
AT1G33970.1
AT1G33970.2
AT1G33970.3
AT1G33970.4
AT1G33970.5
AT1G33980.1
AT1G33980.2
AT1G34000.1
AT1G34010.1
AT1G34010.2
AT1G34010.3
AT1G34015.1
AT1G34020.1
AT1G34020.2
AT1G34020.3
AT1G34030.1
AT1G34040.1
AT1G34040.2
AT1G34042.1
AT1G34046.1
AT1G34047.1
AT1G34047.2
AT1G34049.1
AT1G34050.1
AT1G34060.1
AT1G34060.2
AT1G34065.1
AT1G34065.2
AT1G34070.1
AT1G34095.1
AT1G34110.1
AT1G34110.2
AT1G34120.1
AT1G34120.2
AT1G34120.3
AT1G34120.4
AT1G34120.5
AT1G34130.1
AT1G34140.1
AT1G34150.1
AT1G34160.1
AT1G34160.2
AT1G34170.1
AT1G34170.2
AT1G34170.3
AT1G34180.1
AT1G34180.2
AT1G34180.3
AT1G34180.4
AT1G34190.1
AT1G34200.1
AT1G34210.1
AT1G34210.2
AT1G34220.1
AT1G34220.2
AT1G34245.1
AT1G34260.1
AT1G34260.2
AT1G34260.3
AT1G34260.4
AT1G34270.1
AT1G34290.1
AT1G34300.1
AT1G34310.1
AT1G34315.1
AT1G34317.1
AT1G34320.1
AT1G34320.2
AT1G34340.1
AT1G34350.1
AT1G34350.2
AT1G34355.1
AT1G34355.2
AT1G34355.3
AT1G34360.1
AT1G34360.2
AT1G34360.3
AT1G34370 protein
AT1G34370.1
AT1G34370.2
AT1G34370.3
AT1G34380.1
AT1G34380.2
AT1G34380.3
AT1G34390.1
AT1G34400.1
AT1G34403.1
AT1G34410.1
AT1G34420.1
AT1G34430.1
AT1G34440.1
AT1G34460.1
AT1G34460.2
AT1G34460.3
AT1G34460.4
AT1G34460.5
AT1G34460.6
AT1G34460.7
AT1G34460.8
AT1G34460.9
AT1G34470.1
AT1G34480.1
AT1G34490.1
AT1G34500.1
AT1G34520.1
AT1G34540
AT1G34550.1
AT1G34550.2
AT1G34560.1
AT1G34570.1
AT1G34575.1
AT1G34580.1
AT1G34580.2
AT1G34630.1
AT1G34630.2
AT1G34630.3
AT1G34630.4
AT1G34630.5
AT1G34640.1
AT1G34650.1
AT1G34670.1
AT1G34750.1
AT1G34750.2
AT1G34750.3
AT1G34750.4
AT1G34760.1
AT1G34760.2
AT1G34770 protein
AT1G34770.1
AT1G34770.2
AT1G34770.3
AT1G34770.4
AT1G34770.5
AT1G34770.6
AT1G34780.1
AT1G34780.2
AT1G34790.1
AT1G34792.1
AT1G34795.1
AT1G34800.1
AT1G34805.1
AT1G34807.1
AT1G34810.1
AT1G34812.1
AT1G34815.1
AT1G34817.1
AT1G34820.1
AT1G34822.1
AT1G34825.1
AT1G34827.1
AT1G34830.1
AT1G34840.1
AT1G34850.1
AT1G34855.1
AT1G34860.1
AT1G34910.1
AT1G34930.1
AT1G35030.1
AT1G35035.1
AT1G35040.1
AT1G35140.1
AT1G35150.1
AT1G35160.1
AT1G35160.2
AT1G35170.1
AT1G35170.2
AT1G35170.3
AT1G35170.4
AT1G35180.1
AT1G35181.1
AT1G35183.1
AT1G35183.2
AT1G35183.3
AT1G35190.1
AT1G35190.2
AT1G35210.1
AT1G35215.1
AT1G35220.1
AT1G35220.2
AT1G35220.3
AT1G35220.4
AT1G35220.5
AT1G35220.6
AT1G35220.7
AT1G35230.1
AT1G35240.1
AT1G35242.1
AT1G35250.1
AT1G35250.2
AT1G35250.3
AT1G35255.1
AT1G35260.1
AT1G35290.1
AT1G35310.1
AT1G35320.1
AT1G35320.2
AT1G35320.3
AT1G35330.1
AT1G35340.1
AT1G35340.2
AT1G35340.3
AT1G35340.4
AT1G35340.5
AT1G35340.6
AT1G35340.7
AT1G35350.1
AT1G35350.2
AT1G35353.1
AT1G35365.1
AT1G35375.1
AT1G35400.1
AT1G35410.1
AT1G35420.1
AT1G35420.2
AT1G35420.3
AT1G35430.1
AT1G35435.1
AT1G35440.1
AT1G35460.1
AT1G35460.2
AT1G35467.1
AT1G35470.1
AT1G35470.2
AT1G35490.1
AT1G35490.2
AT1G35500.1
AT1G35510.1
AT1G35515.1
AT1G35516.1
AT1G35516.2
AT1G35520.1
AT1G35530.1
AT1G35530.2
AT1G35530.3
AT1G35530.4
AT1G35530.5
AT1G35537.1
AT1G35540.1
AT1G35550.1
AT1G35560.1
AT1G35580.1
AT1G35580.2
AT1G35580.3
AT1G35610.1
AT1G35614.1
AT1G35617.1
AT1G35620.1
AT1G35625.1
AT1G35630.1
AT1G35660.1
AT1G35670.1
AT1G35680.1
AT1G35710.1
AT1G35730.1
AT1G35730.2
AT1G35750.1
AT1G35780.1
AT1G35780.2
AT1G35780.3
AT1G35780.4
AT1G35820.1
AT1G35830.1
AT1G35850.1
AT1G35850.2
AT1G35860.1
AT1G35880.1
AT1G35890.1
AT1G35895.1
AT1G35910.1
AT1G36000.1
AT1G36005.1
AT1G36020.1
AT1G36030.1
AT1G36050.1
AT1G36050.2
AT1G36060.1
AT1G36070.1
AT1G36070.2
AT1G36070.3
AT1G36070.4
AT1G36070.5
AT1G36078.1
AT1G36085.1
AT1G36095.1
AT1G36100.1
AT1G36150.1
AT1G36160.1
AT1G36160.2
AT1G36180.2
AT1G36180.3
AT1G36230.1
AT1G36240.1
AT1G36272.1
AT1G36280.1
AT1G36280.2
AT1G36310.1
AT1G36310.2
AT1G36320.1
AT1G36325.1
AT1G36340.1
AT1G36340.2
AT1G36370.1
AT1G36380.1
AT1G36390.1
AT1G36390.2
AT1G36510.1
AT1G36580.1
AT1G36622.1
AT1G36623.1
AT1G36627.1
AT1G36640.1
AT1G36675.1
AT1G36730.1
AT1G36745.1
AT1G36756.1
AT1G36920.1
AT1G36920.2
AT1G36920.3
AT1G36922.1
AT1G36922.2
AT1G36925.1
AT1G36940.1
AT1G36940.2
AT1G36942.1
AT1G36950.1
AT1G36960.1
AT1G36970.1
AT1G36980.1
AT1G36980.2
AT1G36990.1
AT1G37000.1
AT1G37010.1
AT1G37020.1
AT1G37113.1
AT1G37130.1
AT1G37140.1
AT1G37140.2
AT1G37150.1
AT1G37150.2
AT1G37150.3
AT1G37150.4
AT1G37150.5
AT1G37150.6
AT1G37150.7
AT1G37150.8
AT1G37150.9
AT1G38065.1
AT1G38065.2
AT1G38131.1
AT1G38790.1
AT1G39060.1
AT1G39070.1
AT1G40083.1
AT1G40086.1
AT1G40087.1
AT1G40090.1
AT1G40104.1
AT1G40129.1
AT1G40390.1
AT1G41820.1
AT1G41830.1
AT1G41880.1
AT1G41880.2
AT1G41920.1
AT1G42080.1
AT1G42190.1
AT1G42430.1
AT1G42430.2
AT1G42440.1
AT1G42470.1
AT1G42480.1
AT1G42480.2
AT1G42480.3
AT1G42525.1
AT1G42525.2
AT1G42540.1
AT1G42540.2
AT1G42540.3
AT1G42540.4
AT1G42550.1
AT1G42560.1
AT1G42560.2
AT1G42615.1
AT1G42680.1
AT1G42700.1
AT1G42710.1
AT1G42960.1
AT1G42970.1
AT1G42980.1
AT1G42990.1
AT1G43000.1
AT1G43000.2
AT1G43005.1
AT1G43010.1
AT1G43020.1
AT1G43020.2
AT1G43020.3
AT1G43020.4
AT1G43020.5
AT1G43040.1
AT1G43040.2
AT1G43080.1
AT1G43090.1
AT1G43100.1
AT1G43130.1
AT1G43130.2
AT1G43130.3
AT1G43140.1
AT1G43145.1
AT1G43160.1
AT1G43170.1
AT1G43170.2
AT1G43170.3
AT1G43170.4
AT1G43170.5
AT1G43170.6
AT1G43170.7
AT1G43170.8
AT1G43170.9
AT1G43171.1
AT1G43190.1
AT1G43190.2
AT1G43190.3
AT1G43245.1
AT1G43245.2
AT1G43260.1
AT1G43310.1
AT1G43320.1
AT1G43330.1
AT1G43415.1
AT1G43560.1
AT1G43580.1
AT1G43600.1
AT1G43605.1
AT1G43605.2
AT1G43610.1
AT1G43620.1
AT1G43620.2
AT1G43620.3
AT1G43620.4
AT1G43620.5
AT1G43620.6
AT1G43620.7
AT1G43620.8
AT1G43630.1
AT1G43640.1
AT1G43640.2
AT1G43650.1
AT1G43650.2
AT1G43665.1
AT1G43666.1
AT1G43667.1
AT1G43670.1
AT1G43680.1
AT1G43690.1
AT1G43700.1
AT1G43710.1
AT1G43720.1
AT1G43722.1
AT1G43730.1
AT1G43760.1
AT1G43770.1
AT1G43770.2
AT1G43770.3
AT1G43780.1
AT1G43790.1
AT1G43800.1
AT1G43810.1
AT1G43815.1
AT1G43815.2
AT1G43825.1
AT1G43850.1
AT1G43850.2
AT1G43860.1
AT1G43860.2
AT1G43890.1
AT1G43890.2
AT1G43890.3
AT1G43900.1
AT1G43910.1
AT1G43950.1
AT1G43970.1
AT1G43980.1
AT1G44000.1
AT1G44010.1
AT1G44020.1
AT1G44030.1
AT1G44030.2
AT1G44050.1
AT1G44080.1
AT1G44085.1
AT1G44090.1
AT1G44100.1
AT1G44110.1
AT1G44120.1
AT1G44120.2
AT1G44120.3
AT1G44130.1
AT1G44160.1
AT1G44170.1
AT1G44170.2
AT1G44170.3
AT1G44180.1
AT1G44180.2
AT1G44180.3
AT1G44191.1
AT1G44224.1
AT1G44318
AT1G44350.1
AT1G44414.1
AT1G44446.1
AT1G44446.2
AT1G44446.3
AT1G44446.4
AT1G44478.1
AT1G44542.1
AT1G44575.2
AT1G44575.3
AT1G44608.1
AT1G44740.1
AT1G44750.1
AT1G44750.2
AT1G44750.3
AT1G44750.4
AT1G44750.5
AT1G44750.6
AT1G44750.7
AT1G44750.8
AT1G44760.1
AT1G44760.2
AT1G44770.1
AT1G44770.2
AT1G44780.1
AT1G44780.2
AT1G44790.1
AT1G44800.1
AT1G44810.1
AT1G44830.1
AT1G44835.1
AT1G44835.2
AT1G44890.1
AT1G44895.1
AT1G44900.1
AT1G44900.2
AT1G44910.1
AT1G44910.2
AT1G44920.1
AT1G44940.1
AT1G44940.2
AT1G44941.1
AT1G44960.1
AT1G44980.1
AT1G44990.1
AT1G45000.1
AT1G45000.2
AT1G45010.1
AT1G45010.2
AT1G45010.3
AT1G45010.4
AT1G45015.1
AT1G45015.2
AT1G45050.1
AT1G45050.2
AT1G45063.1
AT1G45063.2
AT1G45100.1
AT1G45110.1
AT1G45130.1
AT1G45130.2
AT1G45145.1
AT1G45150.1
AT1G45160.1
AT1G45160.2
AT1G45163.1
AT1G45165.1
AT1G45170.1
AT1G45170.2
AT1G45180.1
AT1G45180.2
AT1G45180.3
AT1G45180.4
AT1G45190.1
AT1G45191.1
AT1G45191.2
AT1G45191.3
AT1G45191.4
AT1G45191.5
AT1G45191.6
AT1G45201.1
AT1G45201.2
AT1G45201.3
AT1G45207.2
AT1G45207.3
AT1G45215.1
AT1G45221.1
AT1G45223.1
AT1G45229.1
AT1G45229.2
AT1G45230.1
AT1G45230.2
AT1G45231.2
AT1G45233.2
AT1G45243.1
AT1G45248.1
AT1G45248.2
AT1G45248.3
AT1G45248.4
AT1G45248.5
AT1G45249.1
AT1G45249.10
AT1G45249.2
AT1G45249.3
AT1G45249.4
AT1G45249.5
AT1G45249.6
AT1G45249.7
AT1G45249.8
AT1G45249.9
AT1G45332.1
AT1G45332.2
AT1G45403.1
AT1G45474.1
AT1G45474.2
AT1G45545.1
AT1G45545.2
AT1G45616.1
AT1G45688.1
AT1G45688.2
AT1G45976.1
AT1G46264.1
AT1G46336.1
AT1G46408.1
AT1G46480.1
AT1G46480.2
AT1G46696.1
AT1G46768.1
AT1G46768.2
AT1G46768.3
AT1G46840.1
AT1G46912.1
AT1G46912.2
AT1G46984.1
AT1G47056.1
AT1G47128.1
AT1G47130.1
AT1G47200.1
AT1G47210.1
AT1G47210.2
AT1G47220.1
AT1G47230.1
AT1G47230.2
AT1G47240.1
AT1G47250.1
AT1G47260.1
AT1G47265.1
AT1G47270.1
AT1G47270.2
AT1G47270.3
AT1G47271.1
AT1G47278.1
AT1G47278.2
AT1G47278.3
AT1G47280.1
AT1G47290.1
AT1G47290.2
AT1G47300.1
AT1G47310.1
AT1G47317.1
AT1G47330.1
AT1G47330.2
AT1G47340.1
AT1G47340.2
AT1G47340.3
AT1G47350.1
AT1G47370.1
AT1G47380.1
AT1G47389.1
AT1G47390.1
AT1G47395.1
AT1G47400.1
AT1G47410.1
AT1G47410.2
AT1G47420.1
AT1G47450.1
AT1G47470.1
AT1G47485.1
AT1G47490.1
AT1G47490.2
AT1G47495.1
AT1G47497.1
AT1G47497.2
AT1G47500.1
AT1G47500.2
AT1G47510.1
AT1G47510.2
AT1G47510.3
AT1G47510.4
AT1G47530.1
AT1G47530.2
AT1G47540.1
AT1G47540.2
AT1G47550.1
AT1G47550.2
AT1G47560.1
AT1G47570.1
AT1G47570.2
AT1G47570.3
AT1G47578
AT1G47580.1
AT1G47600-MONOMER
AT1G47600.1
AT1G47600.2
AT1G47603.1
AT1G47610.1
AT1G47620.1
AT1G47640.1
AT1G47655.1
AT1G47657.1
AT1G47660.1
AT1G47670.1
AT1G47680.1
AT1G47690.1
AT1G47695.1
AT1G47700.1
AT1G47710.1
AT1G47710.2
AT1G47720.1
AT1G47730.1
AT1G47740.1
AT1G47740.2
AT1G47740.3
AT1G47750.1
AT1G47760.1
AT1G47765.1
AT1G47770.1
AT1G47780.1
AT1G47786.1
AT1G47790.1
AT1G47800.1
AT1G47810.1
AT1G47813.1
AT1G47820.1
AT1G47820.2
AT1G47830.1
AT1G47840.2
AT1G47845.1
AT1G47870.1
AT1G47870.2
AT1G47885.1
AT1G47890.1
AT1G47900.1
AT1G47900.2
AT1G47900.3
AT1G47915.1
AT1G47920.1
AT1G47940.1
AT1G47960.1
AT1G47960.2
AT1G47970.1
AT1G47980.1
AT1G47990.1
AT1G48000.1
AT1G48010.1
AT1G48020.1
AT1G48030.1
AT1G48030.2
AT1G48030.3
AT1G48030.4
AT1G48030.5
AT1G48040.1
AT1G48050.1
AT1G48050.2
AT1G48050.3
AT1G48060.1
AT1G48070.1
AT1G48070.2
AT1G48090.1
AT1G48090.2
AT1G48090.3
AT1G48090.4
AT1G48090.5
AT1G48090.6
AT1G48095.1
AT1G48100
AT1G48110.1
AT1G48110.2
AT1G48120.1
AT1G48130.1
AT1G48140.1
AT1G48140.2
AT1G48145.1
AT1G48150.1
AT1G48160.1
AT1G48160.2
AT1G48170.1
AT1G48175.1
AT1G48175.2
AT1G48175.3
AT1G48175.4
AT1G48175.5
AT1G48175.6
AT1G48180.1
AT1G48180.2
AT1G48180.3
AT1G48180.4
AT1G48190.1
AT1G48195.1
AT1G48200.1
AT1G48210.1
AT1G48210.2
AT1G48210.3
AT1G48210.4
AT1G48210.5
AT1G48210.6
AT1G48210.7
AT1G48220.1
AT1G48230.1
AT1G48230.2
AT1G48240.1
AT1G48240.2
AT1G48260.1
AT1G48260.2
AT1G48260.3
AT1G48260.4
AT1G48260.5
AT1G48270.1
AT1G48270.2
AT1G48280.1
AT1G48285.1
AT1G48300.1
AT1G48310.1
AT1G48310.2
AT1G48310.3
AT1G48310.4
AT1G48320.1
AT1G48325.1
AT1G48330.1
AT1G48350.1
AT1G48355.1
AT1G48360.1
AT1G48360.2
AT1G48360.3
AT1G48360.4
AT1G48360.5
AT1G48360.6
AT1G48370.1
AT1G48370.2
AT1G48380.1
AT1G48380.2
AT1G48390.1
AT1G48390.2
AT1G48390.3
AT1G48400.1
AT1G48400.2
AT1G48405.1
AT1G48410.1
AT1G48410.2
AT1G48410.3
AT1G48420.1
AT1G48420.2
AT1G48420.3
AT1G48430.1
AT1G48430.2
AT1G48440.1
AT1G48450.1
AT1G48450.2
AT1G48450.3
AT1G48460.1
AT1G48460.2
AT1G48470-MONOMER
AT1G48470.1
AT1G48480.1
AT1G48490.1
AT1G48490.2
AT1G48490.3
AT1G48490.4
AT1G48500.1
AT1G48500.2
AT1G48500.3
AT1G48510.1
AT1G48510.2
AT1G48510.3
AT1G48510.4
AT1G48520.1
AT1G48520.2
AT1G48520.3
AT1G48530.1
AT1G48540.1
AT1G48540.2
AT1G48540.3
AT1G48550.1
AT1G48550.2
AT1G48560.1
AT1G48560.2
AT1G48570.1
AT1G48580.1
AT1G48580.2
AT1G48580.3
AT1G48590.1
AT1G48590.2
AT1G48590.3
AT1G48590.4
AT1G48600.1
AT1G48600.2
AT1G48605.1
AT1G48610.1
AT1G48610.2
AT1G48620.1
AT1G48630.1
AT1G48635.1
AT1G48635.2
AT1G48640.1
AT1G48650.1
AT1G48650.2
AT1G48660.1
AT1G48660.2
AT1G48670.1
AT1G48670.2
AT1G48690.1
AT1G48700.1
AT1G48700.2
AT1G48700.3
AT1G48700.4
AT1G48700.5
AT1G48700.6
AT1G48720.1
AT1G48725.1
AT1G48730.1
AT1G48740.1
AT1G48740.2
AT1G48740.3
AT1G48740.4
AT1G48745.1
AT1G48750.1
AT1G48760.1
AT1G48760.2
AT1G48760.3
AT1G48770.1
AT1G48770.2
AT1G48770.3
